0,0,0
200,4,0
400,0,0
600,4,0
800,8,0
1000,8,0
1200,12,0
1400,12,0
1600,16,4
1800,16,0
2000,16,0
2200,20,0
2400,20,0
2600,24,0
2800,28,0
3000,40,4
3200,42,0
3400,34,4
3600,54,0
3800,42,4
4000,36,4
4200,34,4
4400,44,0
4600,44,4
4800,56,4
5000,69,4
5200,66,8
5400,70,4
5600,64,0
5800,64,4
6000,90,4
6200,82,8
6400,69,4
6600,62,4
6800,96,8
7000,105,4
7200,92,4
7400,111,4
7600,107,4
7800,104,8
8000,124,0
8200,120,6
8400,119,4
8600,113,8
8800,108,4
9000,116,4
9200,84,8
9400,100,8
9600,108,4
9800,120,8
10000,116,8
10200,96,4
10400,104,4
10600,110,4
10800,112,4
11000,116,4
11200,179,12
11400,133,8
11600,120,8
11800,120,8
12000,183,8
12200,158,4
12400,140,8
12600,156,8
12800,160,8
13000,128,4
13200,132,8
13400,136,8
13600,132,8
13800,140,8
14000,204,12
14200,156,4
14400,144,8
14600,164,8
14800,208,8
15000,212,12
15200,180,8
15400,148,8
15600,168,12
15800,196,4
16000,160,8
16200,232,8
16400,184,8
16600,196,8
16800,164,12
17000,176,8
17200,192,8
17400,224,12
17600,256,12
17800,248,8
18000,200,8
18200,204,8
18400,248,12
18600,268,12
18800,252,12
19000,272,12
19200,240,12
19400,192,12
19600,248,12
19800,212,12
20000,224,12
20200,200,12
20400,208,12
20600,232,8
20800,208,12
21000,288,16
21200,280,16
21400,252,12
21600,268,12
21800,224,12
22000,356,16
22200,256,12
22400,232,12
22600,332,16
22800,324,12
23000,352,24
23200,308,12
23400,316,16
23600,324,20
23800,324,12
24000,296,20
24200,368,20
24400,332,12
24600,268,12
24800,252,12
25000,316,16
25200,368,12
25400,260,16
25600,288,16
25800,352,20
26000,320,16
26200,272,12
26400,340,16
26600,312,12
26800,272,16
27000,288,12
27200,280,12
27400,364,20
27600,340,16
27800,288,16
28000,296,16
28200,324,16
28400,392,20
28600,332,16
28800,324,24
29000,416,32
29200,352,20
29400,332,16
29600,336,20
29800,312,16
30000,312,16
30200,312,20
30400,356,20
30600,324,20
30800,412,24
31000,476,24
31200,472,16
31400,472,20
31600,468,24
31800,416,24
32000,392,16
32200,400,16
32400,392,20
32600,344,16
32800,364,16
33000,392,16
33200,396,24
33400,496,24
33600,440,16
33800,384,20
34000,412,24
34200,400,28
34400,492,28
34600,376,20
34800,460,16
35000,536,24
35200,400,16
35400,392,16
35600,416,16
35800,432,16
36000,392,16
36200,408,16
36400,516,24
36600,460,20
36800,584,28
37000,552,20
37200,432,20
37400,404,24
37600,436,20
37800,396,20
38000,460,24
38200,576,24
38400,444,20
38600,408,20
38800,476,20
39000,516,24
39200,527,16
39400,497,31
39600,571,24
39800,456,20
40000,468,24
40200,463,28
40400,448,20
40600,528,20
40800,504,48
41000,504,28
41200,572,28
41400,488,28
41600,648,20
41800,524,36
42000,512,20
42200,464,48
42400,660,20
42600,492,20
42800,488,24
43000,512,24
